"","ensembl_gene_id","hgnc_symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1376","ENSG00000116586","LAMTOR2",3.82259816986209,157.674139326441,0.251243302069097,0.807732029684924,0.846034329452793,-4.65666717533159
"1801","ENSG00000130203","APOE",-2.02183668396577,30.2070470562427,-0.251041504127382,0.807882872792521,0.846034329452793,-4.65667408647853
"4124","ENSG00000198920","KIAA0753",3.46403144090232,116.311775658254,0.250412237207015,0.808353301688571,0.846227968482836,-4.6566956028704
"1947","ENSG00000134072","CAMK1",1.02200235887724,22.5547235727069,0.250334308903685,0.808411565259958,0.846227968482836,-4.65669826380455
"3553","ENSG00000175029","CTBP2",-2.92946522488652,200.271731319252,-0.249547422551934,0.808999956399043,0.846663857430377,-4.65672508766552
"1268","ENSG00000114107","CEP70",1.03007824089215,42.6883740924732,0.249111480212141,0.809325985889929,0.846825043259536,-4.65673991299652
"539","ENSG00000089177","KIF16B",-1.62106341460133,69.5681851023197,-0.245340547487287,0.812147801329707,0.849597030587792,-4.65686710100771
"1879","ENSG00000132254","ARFIP2",-2.96383200150869,261.184510412406,-0.244263767474236,0.812954098444717,0.850259831451741,-4.65690307279479
"1122","ENSG00000110442","COMMD9",-3.79432860552779,196.750741564054,-0.244010463225247,0.813143807980687,0.850277605498921,-4.65691151251006
"1505","ENSG00000119927","GPAM",0.914645379037036,41.8841211772281,0.243173106909512,0.813771029898299,0.85075276708204,-4.65693935130059
"2902","ENSG00000161267","BDH1",-1.71461586442293,72.8393349460802,-0.241579410235888,0.814965180936213,0.851461667034405,-4.65699207801532
"4724","ENSG00000275544","BDH1",-1.71461586442293,72.8393349460802,-0.241579410235888,0.814965180936213,0.851461667034405,-4.65699207801532
"672","ENSG00000100412","ACO2",4.08269763266842,265.303094272431,0.241575672867596,0.814967981935023,0.851461667034405,-4.65699220126765
"2329","ENSG00000142208","AKT1",-3.91477515299733,389.250671872779,-0.239857308122454,0.816256120730885,0.852430684941088,-4.65704867341889
"3300","ENSG00000168876","ANKRD49",-1.16469504360933,52.527856604088,-0.238806196521094,0.817044357674224,0.852430684941088,-4.65708302345089
"2140","ENSG00000137720","C11orf1",-1.96638373168165,67.0080078449761,-0.238750490778107,0.817086138005752,0.852430684941088,-4.6570848397975
"4149","ENSG00000204256","BRD2",-15.5335185812987,1230.38531164592,-0.237975999281385,0.817667084871705,0.852430684941088,-4.65711005015854
"4304","ENSG00000215077","BRD2",-15.5335185812987,1230.38531164592,-0.237975999281385,0.817667084871705,0.852430684941088,-4.65711005015854
"4442","ENSG00000230678","BRD2",-15.5335185812987,1230.38531164592,-0.237975999281385,0.817667084871705,0.852430684941088,-4.65711005015854
"4501","ENSG00000234507","BRD2",-15.5335185812987,1230.38531164592,-0.237975999281385,0.817667084871705,0.852430684941088,-4.65711005015854
"4507","ENSG00000234704","BRD2",-15.5335185812987,1230.38531164592,-0.237975999281385,0.817667084871705,0.852430684941088,-4.65711005015854
"4516","ENSG00000235307","BRD2",-15.5335185812987,1230.38531164592,-0.237975999281385,0.817667084871705,0.852430684941088,-4.65711005015854
"4534","ENSG00000236227","BRD2",-15.5335185812987,1230.38531164592,-0.237975999281385,0.817667084871705,0.852430684941088,-4.65711005015854
"3671","ENSG00000178607","ERN1",0.80232799606628,20.0590856129088,0.237798629029589,0.817800147263205,0.852430684941088,-4.65711581247764
"4349","ENSG00000224470","ATXN1L",2.22281029583695,117.086221775463,0.237028816172008,0.818377729845474,0.852852151572665,-4.65714077325778
"1401","ENSG00000117153","KLHL12",2.31371020436011,104.807203389343,0.23481833139863,0.820036884361526,0.854293034409571,-4.65721200847075
"4007","ENSG00000196505","GDAP2",-1.47902499664477,62.1214667424692,-0.234724371376942,0.820107430554466,0.854293034409571,-4.6572150220116
"3642","ENSG00000177830","CHID1",-3.13982908220663,120.280110962608,-0.234255434552579,0.820459539232619,0.854479016636806,-4.6572300444432
"4026","ENSG00000196975","ANXA4",6.50409073629216,361.766325675821,0.233502550493123,0.82102494423259,0.854842967159938,-4.65725410185856
"897","ENSG00000105339","DENND3",-0.440761725010106,17.4722851122873,-0.23332768020111,0.821156285130885,0.854842967159938,-4.65725967879658
"3980","ENSG00000189067","LITAF",-1.00124162275305,33.4291164224113,-0.233020060909519,0.821387345105485,0.854902727263066,-4.65726947945457
"2291","ENSG00000141219","C17orf80",2.33128609622827,129.207571941873,0.232554727299625,0.821736902989814,0.855085769059153,-4.6572842808693
"1179","ENSG00000111727","HCFC2",-0.498856249414347,14.9911829709264,-0.231923936451822,0.82221081931262,0.855287887189546,-4.6573042990848
"1816","ENSG00000130695","CEP85",3.03530095477527,130.718741547154,0.231833721563885,0.822278604523282,0.855287887189546,-4.65730715772731
"197","ENSG00000050820","BCAR1",-1.3916483081184,70.1960364368785,-0.230125926776104,0.823562095901414,0.856261076689051,-4.65736106790784
"4883","ENSG00000285460","BCAR1",-1.3916483081184,70.1960364368785,-0.230125926776104,0.823562095901414,0.856261076689051,-4.65736106790784
"1090","ENSG00000109586","GALNT7",-2.61022582327152,137.537350323257,-0.228968117984854,0.82443256561209,0.856985118350574,-4.65739739527912
"2934","ENSG00000162545","CAMK2N1",4.04936030131734,114.975109918642,0.228203358847554,0.825007671725161,0.857260482356556,-4.65742129221708
"1139","ENSG00000110944","IL23A",-0.479796191147345,14.1018275426363,-0.228152745435102,0.825045737437612,0.857260482356556,-4.65742287101345
"1153","ENSG00000111276","CDKN1B",-3.31844792339823,185.465471812781,-0.224349016127018,0.827907867919642,0.860052845277147,-4.65754054260171
"1481","ENSG00000119640","ACYP1",-1.98143930095602,66.7083133358711,-0.223641348806496,0.828440656401244,0.860368458487227,-4.65756222158926
"2763","ENSG00000156510","HKDC1",1.40109586001422,71.8140051131159,0.2234812361323,0.828561215049348,0.860368458487227,-4.65756711726294
"3885","ENSG00000185658","BRWD1",-6.06756335725159,296.192249422552,-0.223042297074269,0.828891743805667,0.860530167599177,-4.65758052087287
"2108","ENSG00000137100","DCTN3",-2.7214728088248,87.2207764357794,-0.222332090365735,0.829426618135925,0.860903909146776,-4.65760215344737
"2957","ENSG00000162885","B3GALNT2",-2.99047192127196,252.987347782049,-0.220973600193515,0.830449992704625,0.861602805918835,-4.65764334449428
